;cd_instrumento;tp_instrumento;stp_instrumento;dt_medicao;hr_medicao;sit_medicao;valor;tp_coleta;just_n_medicao;numero_OS;cond_adversa;obs;unid_medida_u;unid_medida_y;leitura_m;unid_medida_w;unid_medida_aa;unid_medida_ac;lei_manual_m;leitura;leitua_sensor_u1;cota_z;leitura_sensor_u1;unid_medida;Valor;unid_medida_aec;desv_padrao
1565;PICBMV2PZ007;Piezômetro;Casagrande;2020-08-24;0:39.32;Não Realizada;;Automatizada;Medição realizada em outra OS;254278.0;;Realizada na Inspeção quinzenal de O.S 252517;;;;;;;;;;;;;;;0
1566;PICBMV2PZ007;Piezômetro;Casagrande;2020-08-25;0:25.00;Realizada;;Automatizada;;254466.0;SECO;;;;;;;;;;;;;;;;0
1567;PICBMV2PZ007;Piezômetro;Casagrande;2020-08-26;0:20.49;Realizada;;Automatizada;;254624.0;SECO;;;;;;;;;;;;;;;;0
1568;PICBMV2PZ007;Piezômetro;Casagrande;2020-08-27;0:25.02;Realizada;;Automatizada;;254802.0;SECO;;;;;;;;;;;;;;;;0
1569;PICBMV2PZ007;Piezômetro;Casagrande;2020-08-28;0:20.22;Realizada;;Automatizada;;254952.0;SECO;;;;;;;;;;;;;;;;0
1570;PICBMV2PZ007;Piezômetro;Casagrande;2020-08-29;0:22.19;Realizada;;Automatizada;;255114.0;SECO;;;;;;;;;;;;;;;;0
1571;PICBMV2PZ007;Piezômetro;Casagrande;2020-08-30;0:21.27;Realizada;;Automatizada;;255249.0;SECO;;;;;;;;;;;;;;;;0
1572;PICBMV2PZ007;Piezômetro;Casagrande;2020-08-31;0:23.25;Realizada;;Automatizada;;255481.0;SECO;;;;;;;;;;;;;;;;0
1573;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-01;0:20.49;Realizada;;Automatizada;;255868.0;SECO;;;;;;;;;;;;;;;;0
1574;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-02;0:19.35;Realizada;;Automatizada;;256182.0;SECO;;;;;;;;;;;;;;;;0
1575;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-03;0:20.20;Realizada;;Automatizada;;256358.0;SECO;;;;;;;;;;;;;;;;0
1576;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-04;0:20.09;Realizada;;Automatizada;;256510.0;SECO;;;;;;;;;;;;;;;;0
1577;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-05;0:22.54;Realizada;;Automatizada;;256656.0;SECO;;;;;;;;;;;;;;;;0
1578;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-06;0:19.59;Realizada;;Automatizada;;256790.0;SECO;;;;;;;;;;;;;;;;0
1579;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-07;0:25.22;Realizada;;Automatizada;;256960.0;SECO;;;;;;;;;;;;;;;;0
1580;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-08;0:20.52;Realizada;;Automatizada;;255732.0;SECO;;;;;;;;;;;;;;;;0
1581;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-08;0:43.17;Não Realizada;;Automatizada;Medição realizada em outra OS;257151.0;;Monitoramento realizado na 2ª Quinzenal - O.S 255732;;;;;;;;;;;;;;;0
1582;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-09;0:22.24;Realizada;;Automatizada;;257300.0;SECO;;;;;;;;;;;;;;;;0
1583;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-10;0:18.29;Realizada;;Automatizada;;257471.0;SECO;;;;;;;;;;;;;;;;0
1584;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-11;0:24.34;Realizada;;Automatizada;;257602.0;SECO;;;;;;;;;;;;;;;;0
1585;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-12;0:18.47;Realizada;;Automatizada;;257766.0;SECO;;;;;;;;;;;;;;;;0
1586;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-13;0:24.39;Realizada;;Automatizada;;257901.0;SECO;;;;;;;;;;;;;;;;0
1587;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-14;0:19.22;Realizada;;Automatizada;;258076.0;SECO;;;;;;;;;;;;;;;;0
1588;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-15;0:27.24;Realizada;;Automatizada;;258346.0;SECO;;;;;;;;;;;;;;;;0
1589;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-16;0:19.35;Realizada;;Automatizada;;258580.0;SECO;;;;;;;;;;;;;;;;0
1590;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-17;0:22.52;Realizada;;Automatizada;;258847.0;SECO;;;;;;;;;;;;;;;;0
1591;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-18;0:22.00;Realizada;;Automatizada;;258976.0;SECO;;;;;;;;;;;;;;;;0
1592;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-19;0:19.59;Realizada;;Automatizada;;259127.0;SECO;;;;;;;;;;;;;;;;0
1593;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-20;0:19.37;Realizada;;Automatizada;;259260.0;SECO;;;;;;;;;;;;;;;;0
1594;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-21;0:23.12;Realizada;;Automatizada;;259427.0;SECO;;;;;;;;;;;;;;;;0
1595;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-22;0:20.27;Realizada;;Automatizada;;259640.0;SECO;;;;;;;;;;;;;;;;0
1596;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-23;0:41.22;Não Realizada;;Automatizada;Medição realizada em outra OS;259809.0;;Medição realizada na O.S da inspeção da segunda Quinzena.;;;;;;;;;;;;;;;0
1597;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-23;0:26.44;Realizada;;Manual;;259896.0;SECO;;;;;;;;;;;;;;;;0
1598;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-24;0:23.20;Realizada;;Automatizada;;259977.0;SECO;;;;;;;;;;;;;;;;0
1599;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-25;0:24.57;Realizada;;Automatizada;;260111.0;SECO;;;;;;;;;;;;;;;;0
